epochs_run,loss,gwl_pred_loss,subs_pred_loss,total_loss,data_loss,physics_loss,consolidation_loss,gw_flow_loss,val_loss,val_gwl_pred_loss,val_subs_pred_loss
1,0.07520007342100143,0.08710387349128723,0.03164816275238991,0.04746927320957184,0.04746675118803978,2.5212673335772706e-06,2.521263468224788e-06,3.8695045431746955e-12,0.034559354186058044,0.06911870837211609,0.0
2,0.04805517941713333,0.06927040964365005,0.013419978320598602,0.04984626919031143,0.04984499514102936,1.2754971976391971e-06,1.2754913996104733e-06,5.815277513004924e-12,0.034908026456832886,0.06981605291366577,0.0
3,0.047679025679826736,0.06936410069465637,0.012996982783079147,0.04624251648783684,0.04624159634113312,9.203311037708772e-07,9.203240551869385e-07,7.042574422938541e-12,0.03448943793773651,0.06897887587547302,0.0
