timestamp,city,model,pde_mode,use_effective_h,kappa_mode,hd_factor,lambda_cons,lambda_gw,lambda_prior,lambda_smooth,lambda_mv,r2,mae,mse,rmse,pss,coverage80,sharpness80,epsilon_prior,epsilon_cons,epsilon_gw,subs_metrics_unit,time_units,_src,_run_dir,interval_target,coverage80_uncal,coverage80_cal,sharpness80_uncal,sharpness80_cal,coverage80_uncal_phys,coverage80_cal_phys,sharpness80_uncal_phys,sharpness80_cal_phys,factors_per_horizon,coverage80_uncal_H1,sharpness80_uncal_H1,coverage80_uncal_H2,sharpness80_uncal_H2,coverage80_uncal_H3,sharpness80_uncal_H3,coverage80_cal_H1,sharpness80_cal_H1,coverage80_cal_H2,sharpness80_cal_H2,coverage80_cal_H3,sharpness80_cal_H3,r2_H1,r2_H2,r2_H3,mae_H1,mae_H2,mae_H3
20260223-202808,Nansha,PoroElasticSubsNet,consolidation,True,kb,0.6,1.0,0.0,0.2,0.01,0.01,0.8783710410397761,11.918778531253338,336.6513119544834,18.348060168706755,58.31993921476988,0.855108916759491,35.39165109395981,0.0005971143837086856,9.692175808595493e-07,0.0,mm,year,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260223-182644\ablation_records\ablation_record.updated.jsonl,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260223-182644,0.8,0.7744066119194031,0.855108916759491,0.028198549523949623,0.03539165109395981,0.7744066119194031,0.855108916759491,28.198549523949623,35.39165109395981,"[1.0, 1.16015625, 1.5234375]",0.9725345243595667,24.335562862684192,0.7972175162996047,32.32578058738877,0.7955747214949432,49.51360578942501,0.9725345243595667,24.335562862684192,0.8000410698701166,32.54555530072141,0.8000410698701166,50.15121548006699,0.9934360780645505,0.9795359685387023,0.9698153730005318,0.005451749544590712,0.01248222403228283,0.01782235875725746
20260222-215049,Nansha,GeoPriorSubsNet,on,True,kb,0.6,1.0,0.1,0.2,0.01,0.01,0.8831367469990558,9.271536953747272,262.473855400458,16.201044886070093,58.15752262161742,0.8649998903274536,33.081524074077606,0.0003535071446094662,2.107734871970024e-06,1.1787910381144684e-07,mm,year,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260222-141331\ablation_records\ablation_record.updated.jsonl,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260222-141331,0.8,0.8131834268569946,0.8649998903274536,0.02781614661216736,0.033081524074077606,0.8131834268569946,0.8649998903274536,27.81614661216736,33.081524074077606,"[1.0, 1.0, 1.484375]",0.9790543662405667,23.244874687581664,0.8223728117459829,27.592224706985775,0.7935725653267621,48.40746668258111,0.9790543662405667,23.244874687581664,0.8223728117459829,27.592224706985775,0.8000410698701166,49.29692692253824,0.8963778964863411,0.8883555583821918,0.8735846443576366,0.0035246156621724367,0.008313052356243134,0.01597694121301174
20260220-172641,Zhongshan,GeoPriorSubsNet,on,True,kb,0.6,1.0,0.1,0.2,0.01,0.01,0.8973262181313262,1.7788297263905406,7.57063662604196,2.751478988842539,27.33434445047807,0.8056718707084656,3.544188104569912,0.00038518384099006653,7.667046020287671e-07,2.6265178121320787e-07,mm,year,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260218-175001\ablation_records\ablation_record.updated.jsonl,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260218-175001,0.8,0.7248687148094177,0.8056718707084656,0.0028612015303224325,0.003544188104569912,0.7248687148094177,0.8056718707084656,2.8612015303224325,3.544188104569912,"[1.0, 1.25, 1.265625]",,,,,,,,,,,,,0.8971360003448594,0.8969788011757236,0.8974266179719916,0.0015230965800583363,0.001915091765113175,0.0018983003683388233
20260221-151353,Zhongshan,HybridAttn-NoPhysics,off,True,kb,0.6,0.0,0.0,0.0,0.0,0.0,0.8942219787370307,2.143730176612735,16.360085282940418,4.044760225642605,27.666065684220737,0.914294958114624,10.472070425748825,,,,mm,year,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260221-103340\ablation_records\ablation_record.updated.jsonl,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260221-103340,0.8,0.9121171236038208,0.914294958114624,0.01044375915080309,0.010472070425748825,0.9121171236038208,0.914294958114624,10.44375915080309,10.472070425748825,"[1.0, 1.0, 1.0]",0.9131824342091955,10.568290815641404,0.913222889738455,10.446258968495,0.9164795598438417,10.401659643388184,0.9131824342091955,10.568290815641404,0.913222889738455,10.446258968495,0.9164795598438417,10.401659643388184,0.8927428655319013,0.894077663881765,0.894640366568334,0.002096092328429222,0.0021290539298206568,0.0022060435730963945
20260221-205355,Zhongshan,PoroElasticSubsNet,consolidation,True,kb,0.6,1.0,0.0,0.2,0.01,0.01,0.8948507682334222,2.7384813874959946,14.579709386453032,3.8183385636233242,27.62814826128512,0.843619167804718,9.893487207591534,0.00023192615481093526,3.4702261473285034e-06,0.0,mm,year,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260221-153320\ablation_records\ablation_record.updated.jsonl,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260221-153320,0.8,0.839492678642273,0.843619167804718,0.009724021889269352,0.009893487207591534,0.839492678642273,0.843619167804718,9.724021889269352,9.893487207591534,"[1.0, 1.0, 1.03125]",0.8449744118777434,9.81394855799613,0.8801909500981047,9.769716836611707,0.8056920929668062,10.096796544447582,0.8449744118777434,9.81394855799613,0.8801909500981047,9.769716836611707,0.8056920929668062,10.096796544447582,0.8942884518358496,0.8950816626539997,0.8944405209710019,0.0024650900159031153,0.0026935026980936527,0.0030568507499992847
20260223-155214,Nansha,HybridAttn-NoPhysics,off,True,kb,0.6,0.0,0.0,0.0,0.0,0.0,0.8847232744053972,9.03110858052969,237.7798082306981,15.420110512921044,59.975053970599674,0.8518746495246887,31.453363597393036,,,,mm,year,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260223-135903\ablation_records\ablation_record.updated.jsonl,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260223-135903,0.8,0.766261100769043,0.8518746495246887,0.023964934051036835,0.031453363597393036,0.766261100769043,0.8518746495246887,23.964934051036835,31.453363597393036,"[1.0, 1.109375, 1.703125]",0.9657066584526927,19.818336242027023,0.7940859387032189,26.43996520999019,0.7958314081831717,48.10180209078026,0.9657066584526927,19.818336242027023,0.8000410698701166,26.8382127481053,0.8000410698701166,48.592418673041244,0.896942094781511,0.8888709084948104,0.8763342647162836,0.0030936647672206163,0.008429576642811298,0.015570085495710373
