timestamp,city,model,pde_mode,use_effective_h,kappa_mode,hd_factor,lambda_cons,lambda_gw,lambda_prior,lambda_smooth,lambda_mv,r2,mse,mae,coverage80,sharpness80,epsilon_prior,epsilon_cons,per_horizon_mae,per_horizon_r2,legacy,units,rmse,epsilon_gw,per_horizon,pss,metrics,_src
20260220-172641,Zhongshan,GeoPriorSubsNet,on,True,kb,0.6,1.0,0.1,0.2,0.01,0.01,0.8973262181313262,7.57063662604196,1.7788297263905406,0.8056718707084656,3.544188104569912,0.00038518384099006653,7.667046020287671e-07,"{'H1': 0.0015230965800583363, 'H2': 0.001915091765113175, 'H3': 0.0018983003683388233}","{'H1': 0.8971360003448594, 'H2': 0.8969788011757236, 'H3': 0.8974266179719916}","{'pre_posthoc_patch': {'r2': 0.8973262181313262, 'mse': 7.57063662604196e-06, 'mae': 0.0017788297263905406, 'coverage80': 0.5410387516021729, 'sharpness80': 0.004127817694097757}}","{'subs_unit_to_si': 0.001, 'subs_factor_si_to_real': 1000.0, 'subs_metrics_unit': 'mm', 'time_units': 'year', 'seconds_per_time_unit': 31556952.0, 'epsilon_cons_raw_unit': 'mm/year', 'epsilon_gw_raw_unit': '1/year'}",2.751478988842539,2.6265178121320787e-07,"{'mae': {'H1': 1.5230965800583363, 'H2': 1.915091765113175, 'H3': 1.8983003683388233}, 'r2': {'H1': 0.8971360003448594, 'H2': 0.8969788011757236, 'H3': 0.8974266179719916}}",27.33434445047807,"{'posthoc': {'point_metrics': {'mae': 1.7788297263905406, 'mse': 7.57063662604196, 'r2': 0.8973262181313262, 'rmse': 2.751478988842539}, 'interval_calibration': {'target': 0.8, 'factors_per_horizon': [1.0, 1.25, 1.265625], 'factors_per_horizon_from_cal_stats': {'target': 0.8, 'interval': [0.1, 0.9], 'f_max': 5.0, 'tol': 0.02, 'overall_key': '__overall__', 'skipped': True, 'reason': 'already_calibrated'}, 'coverage80_uncalibrated': 0.7248687148094177, 'coverage80_calibrated': 0.8056718707084656, 'sharpness80_uncalibrated': 0.0028612015303224325, 'sharpness80_calibrated': 0.003544188104569912, 'coverage80_uncalibrated_phys': 0.7248687148094177, 'coverage80_calibrated_phys': 0.8056718707084656, 'sharpness80_uncalibrated_phys': 2.8612015303224325, 'sharpness80_calibrated_phys': 3.544188104569912}, 'per_horizon': {'mae': {'H1': 1.5230965800583363, 'H2': 1.915091765113175, 'H3': 1.8983003683388233}, 'r2': {'H1': 0.8971360003448594, 'H2': 0.8969788011757236, 'H3': 0.8974266179719916}}}, 'raw': {'metrics_evaluate': {'subs_pred_mae_q50': 18.67053471505642, 'subs_pred_mse_q50': 1089.5630111917853, 'subs_pred_coverage80': 0.5410387516021729, 'subs_pred_sharpness80': 4.127817694097757, 'gwl_pred_mae_q50': 0.044116634875535965, 'gwl_pred_mse_q50': 0.0189810898154974, 'loss': 0.027580905705690384, 'total_loss': 0.027580905705690384, 'data_loss': 0.02758088707923889, 'physics_loss': 1.8364087139843832e-08, 'physics_mult': 1.0, 'physics_loss_scaled': 1.8364087139843832e-08, 'lambda_offset': 1.0, 'consolidation_loss': 1.9061583122896472e-16, 'gw_flow_loss': 1.0164036225081968e-13, 'prior_loss': 9.182038240851398e-08, 'smooth_loss': 6.358009879495908e-22, 'mv_prior_loss': 0.0, 'bounds_loss': 6.5627492367803776e-18, 'epsilon_prior': 0.00038518384099006653, 'epsilon_cons': 7.667046020287671e-07, 'epsilon_gw': 2.6265178121320787e-07, 'epsilon_cons_raw': 0.00043568690902079187, 'epsilon_gw_raw': 1.0060699003986146e-05, 'q_reg_loss': 0.0, 'q_rms': 0.0, 'q_gate': 0.0, 'subs_resid_gate': 0.0, 'subs_pred_rmse_q50': 33.008529370327686, 'gwl_pred_rmse_q50': 0.13777187599614588}, 'eval_diag_flat': {'mae': 1.7788296011823144, 'mse': 7.5706359297896855, 'rmse': 2.751478862319259, 'r2': 0.897326218189127, 'coverage80': 0.8056718652021765, 'sharpness80': 3.544188049398009}}, 'sources': {'phys_json': 'J:\\nature\\results\\zhongshan_GeoPriorSubsNet_stage1\\train_20260218-175001\\geoprior_eval_phys_20260220-172641_interpretable.json', 'eval_diag_json': 'J:\\nature\\results\\zhongshan_GeoPriorSubsNet_stage1\\train_20260218-175001\\zhongshan_GeoPriorSubsNet_eval_diagnostics_TestSet_H3_calibrated.json', 'run_dir': 'J:\\nature\\results\\zhongshan_GeoPriorSubsNet_stage1\\train_20260218-175001'}}",J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260218-175001\ablation_records\ablation_record.updated.jsonl
20260221-205355,Zhongshan,PoroElasticSubsNet,consolidation,True,kb,0.6,1.0,0.0,0.2,0.01,0.01,0.8948507682334222,14.579709386453032,2.7384813874959946,0.843619167804718,9.893487207591534,0.00023192615481093526,3.4702261473285034e-06,"{'H1': 0.0024650900159031153, 'H2': 0.0026935026980936527, 'H3': 0.0030568507499992847}","{'H1': 0.8942884518358496, 'H2': 0.8950816626539997, 'H3': 0.8944405209710019}","{'pre_posthoc_patch': {'r2': 0.8948507682334222, 'mse': 1.4579709386453032e-05, 'mae': 0.0027384813874959946, 'coverage80': 0.5917115807533264, 'sharpness80': 0.007782681845128536}}","{'subs_unit_to_si': 0.001, 'subs_factor_si_to_real': 1000.0, 'subs_metrics_unit': 'mm', 'time_units': 'year', 'seconds_per_time_unit': 31556952.0, 'epsilon_cons_raw_unit': 'mm/year', 'epsilon_gw_raw_unit': '1/year'}",3.8183385636233242,0.0,"{'mae': {'H1': 2.4650900159031153, 'H2': 2.6935026980936527, 'H3': 3.0568507499992847}, 'r2': {'H1': 0.8942884518358496, 'H2': 0.8950816626539997, 'H3': 0.8944405209710019}}",27.62814826128512,"{'posthoc': {'point_metrics': {'mae': 2.7384813874959946, 'mse': 14.579709386453032, 'r2': 0.8948507682334222, 'rmse': 3.8183385636233242}, 'interval_calibration': {'target': 0.8, 'factors_per_horizon': [1.0, 1.0, 1.03125], 'factors_per_horizon_from_cal_stats': {'target': 0.8, 'interval': [0.1, 0.9], 'f_max': 5.0, 'tol': 0.02, 'overall_key': '__overall__', 'factors_source': 'fit', 'factors': {'1': 1.0, '2': 1.0, '3': 1.0}, 'eval_before': {'coverage': 0.8436191516475514, 'sharpness': 9.893487313018472, 'per_horizon': {'1': {'coverage': 0.8449744118777434, 'sharpness': 9.81394855799613}, '2': {'coverage': 0.8801909500981047, 'sharpness': 9.769716836611707}, '3': {'coverage': 0.8056920929668062, 'sharpness': 10.096796544447582}}}, 'eval_after': {'coverage': 0.8436191516475514, 'sharpness': 9.893487313018472, 'per_horizon': {'1': {'coverage': 0.8449744118777434, 'sharpness': 9.81394855799613}, '2': {'coverage': 0.8801909500981047, 'sharpness': 9.769716836611707}, '3': {'coverage': 0.8056920929668062, 'sharpness': 10.096796544447582}}}}, 'coverage80_uncalibrated': 0.839492678642273, 'coverage80_calibrated': 0.843619167804718, 'sharpness80_uncalibrated': 0.009724021889269352, 'sharpness80_calibrated': 0.009893487207591534, 'coverage80_uncalibrated_phys': 0.839492678642273, 'coverage80_calibrated_phys': 0.843619167804718, 'sharpness80_uncalibrated_phys': 9.724021889269352, 'sharpness80_calibrated_phys': 9.893487207591534}, 'per_horizon': {'mae': {'H1': 2.4650900159031153, 'H2': 2.6935026980936527, 'H3': 3.0568507499992847}, 'r2': {'H1': 0.8942884518358496, 'H2': 0.8950816626539997, 'H3': 0.8944405209710019}}}, 'raw': {'metrics_evaluate': {'subs_pred_mae_q50': 9.882347658276558, 'subs_pred_mse_q50': 300.42658909223974, 'subs_pred_coverage80': 0.5917115807533264, 'subs_pred_sharpness80': 7.782681845128536, 'gwl_pred_mae_q50': 0.08267601579427719, 'gwl_pred_mse_q50': 0.034440841525793076, 'loss': 0.020519161596894264, 'total_loss': 0.020519161596894264, 'data_loss': 0.020519152283668518, 'physics_loss': 9.300677561441262e-09, 'physics_mult': 1.0, 'physics_loss_scaled': 9.300677561441262e-09, 'lambda_offset': 1.0, 'consolidation_loss': 2.5461300057113547e-15, 'gw_flow_loss': 0.0, 'prior_loss': 4.6503373596351594e-08, 'smooth_loss': 2.43531585079058e-22, 'mv_prior_loss': 0.0, 'bounds_loss': 4.7706090865347334e-21, 'epsilon_prior': 0.00023192615481093526, 'epsilon_cons': 3.4702261473285034e-06, 'epsilon_gw': 0.0, 'epsilon_cons_raw': 0.0015923383195927128, 'epsilon_gw_raw': 0.0, 'q_reg_loss': 0.0, 'q_rms': 0.0, 'q_gate': 0.0, 'subs_resid_gate': 0.0, 'subs_pred_rmse_q50': 17.33281826744398, 'gwl_pred_rmse_q50': 0.1855824386244374}, 'eval_diag_flat': {'mae': 2.7384811147888, 'mse': 14.579709563247048, 'rmse': 3.8183385867739714, 'r2': 0.8948507678087348, 'coverage80': 0.8436191516475514, 'sharpness80': 9.893487313018472}}, 'sources': {'phys_json': 'J:\\nature\\results\\zhongshan_GeoPriorSubsNet_stage1\\train_20260221-153320\\geoprior_eval_phys_20260221-205355_interpretable.json', 'eval_diag_json': 'J:\\nature\\results\\zhongshan_GeoPriorSubsNet_stage1\\train_20260221-153320\\zhongshan_PoroElasticSubsNet_eval_diagnostics_TestSet_H3_calibrated.json', 'run_dir': 'J:\\nature\\results\\zhongshan_GeoPriorSubsNet_stage1\\train_20260221-153320'}}",J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260221-153320\ablation_records\ablation_record.updated.jsonl
20260222-215049,Nansha,GeoPriorSubsNet,on,True,kb,0.6,1.0,0.1,0.2,0.01,0.01,0.8831367469990558,262.473855400458,9.271536953747272,0.8649998903274536,33.081524074077606,0.0003535071446094662,2.107734871970024e-06,"{'H1': 0.0035246156621724367, 'H2': 0.008313052356243134, 'H3': 0.01597694121301174}","{'H1': 0.8963778964863411, 'H2': 0.8883555583821918, 'H3': 0.8735846443576366}","{'pre_posthoc_patch': {'r2': 0.8831367469990558, 'mse': 0.000262473855400458, 'mae': 0.009271536953747272, 'coverage80': 0.5698786973953247, 'sharpness80': 0.029935864731669426}}","{'subs_unit_to_si': 0.001, 'subs_factor_si_to_real': 1000.0, 'subs_metrics_unit': 'mm', 'time_units': 'year', 'seconds_per_time_unit': 31556952.0, 'epsilon_cons_raw_unit': 'mm/year', 'epsilon_gw_raw_unit': '1/year'}",16.201044886070093,1.1787910381144684e-07,"{'mae': {'H1': 3.5246156621724367, 'H2': 8.313052356243134, 'H3': 15.976941213011742}, 'r2': {'H1': 0.8963778964863411, 'H2': 0.8883555583821918, 'H3': 0.8735846443576366}}",58.15752262161742,"{'posthoc': {'point_metrics': {'mae': 9.271536953747272, 'mse': 262.473855400458, 'r2': 0.8831367469990558, 'rmse': 16.201044886070093}, 'interval_calibration': {'target': 0.8, 'factors_per_horizon': [1.0, 1.0, 1.484375], 'factors_per_horizon_from_cal_stats': {'target': 0.8, 'interval': [0.1, 0.9], 'f_max': 5.0, 'tol': 0.02, 'overall_key': '__overall__', 'factors_source': 'fit', 'factors': {'1': 1.0, '2': 1.0, '3': 1.0183744430541992}, 'eval_before': {'coverage': 0.8649999144377706, 'sharpness': 33.08152202571618, 'per_horizon': {'1': {'coverage': 0.9790543662405667, 'sharpness': 23.244874687581664}, '2': {'coverage': 0.8223728117459829, 'sharpness': 27.592224706985775}, '3': {'coverage': 0.7935725653267621, 'sharpness': 48.40746668258111}}}, 'eval_after': {'coverage': 0.8671560826188888, 'sharpness': 33.37800877236857, 'per_horizon': {'1': {'coverage': 0.9790543662405667, 'sharpness': 23.244874687581664}, '2': {'coverage': 0.8223728117459829, 'sharpness': 27.592224706985775}, '3': {'coverage': 0.8000410698701166, 'sharpness': 49.29692692253824}}}}, 'coverage80_uncalibrated': 0.8131834268569946, 'coverage80_calibrated': 0.8649998903274536, 'sharpness80_uncalibrated': 0.02781614661216736, 'sharpness80_calibrated': 0.033081524074077606, 'coverage80_uncalibrated_phys': 0.8131834268569946, 'coverage80_calibrated_phys': 0.8649998903274536, 'sharpness80_uncalibrated_phys': 27.81614661216736, 'sharpness80_calibrated_phys': 33.081524074077606}, 'per_horizon': {'mae': {'H1': 3.5246156621724367, 'H2': 8.313052356243134, 'H3': 15.976941213011742}, 'r2': {'H1': 0.8963778964863411, 'H2': 0.8883555583821918, 'H3': 0.8735846443576366}}}, 'raw': {'metrics_evaluate': {'subs_pred_mae_q50': 30.37135861814022, 'subs_pred_mse_q50': 4346.389323472977, 'subs_pred_coverage80': 0.5698786973953247, 'subs_pred_sharpness80': 29.935864731669426, 'gwl_pred_mae_q50': 0.23868314921855927, 'gwl_pred_mse_q50': 0.07677531987428665, 'loss': 0.1577121615409851, 'total_loss': 0.1577121615409851, 'data_loss': 0.1577121615409851, 'physics_loss': 4.137138187587652e-09, 'physics_mult': 1.0, 'physics_loss_scaled': 4.137138187587652e-09, 'lambda_offset': 1.0, 'consolidation_loss': 1.580224259821808e-13, 'gw_flow_loss': 1.5597589951392432e-14, 'prior_loss': 2.063208803804173e-08, 'smooth_loss': 1.084074349629608e-25, 'mv_prior_loss': 0.0, 'bounds_loss': 2.112159891431986e-10, 'epsilon_prior': 0.0003535071446094662, 'epsilon_cons': 2.107734871970024e-06, 'epsilon_gw': 1.1787910381144684e-07, 'epsilon_cons_raw': 0.012544529473981119, 'epsilon_gw_raw': 3.941157649916434e-06, 'q_reg_loss': 0.0, 'q_rms': 0.0, 'q_gate': 0.0, 'subs_resid_gate': 0.0, 'subs_pred_rmse_q50': 65.92715164082988, 'gwl_pred_rmse_q50': 0.27708359726675746}, 'eval_diag_flat': {'mae': 9.27153700159276, 'mse': 262.47387962287337, 'rmse': 16.201045633627274, 'r2': 0.8831367449658838, 'coverage80': 0.8671560826188888, 'sharpness80': 33.37800877236857}}, 'sources': {'phys_json': 'J:\\nature\\results\\nansha_GeoPriorSubsNet_stage1\\train_20260222-141331\\geoprior_eval_phys_20260222-215049_interpretable.json', 'eval_diag_json': 'J:\\nature\\results\\nansha_GeoPriorSubsNet_stage1\\train_20260222-141331\\nansha_GeoPriorSubsNet_eval_diagnostics_TestSet_H3_calibrated.json', 'run_dir': 'J:\\nature\\results\\nansha_GeoPriorSubsNet_stage1\\train_20260222-141331'}}",J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260222-141331\ablation_records\ablation_record.updated.jsonl
20260223-202808,Nansha,PoroElasticSubsNet,consolidation,True,kb,0.6,1.0,0.0,0.2,0.01,0.01,0.8783710410397761,336.6513119544834,11.918778531253338,0.855108916759491,35.39165109395981,0.0005971143837086856,9.692175808595493e-07,"{'H1': 0.005451749544590712, 'H2': 0.01248222403228283, 'H3': 0.01782235875725746}","{'H1': 0.9934360780645505, 'H2': 0.9795359685387023, 'H3': 0.9698153730005318}","{'pre_posthoc_patch': {'r2': 0.9783710410397761, 'mse': 0.0003366513119544834, 'mae': 0.011918778531253338, 'coverage80': 0.5348780155181885, 'sharpness80': 0.035818152129650116}}","{'subs_unit_to_si': 0.001, 'subs_factor_si_to_real': 1000.0, 'subs_metrics_unit': 'mm', 'time_units': 'year', 'seconds_per_time_unit': 31556952.0, 'epsilon_cons_raw_unit': 'mm/year', 'epsilon_gw_raw_unit': '1/year'}",18.348060168706755,0.0,"{'mae': {'H1': 5.451749544590712, 'H2': 12.48222403228283, 'H3': 17.82235875725746}, 'r2': {'H1': 0.8934360780645505, 'H2': 0.8795359685387023, 'H3': 0.8698153730005318}}",58.31993921476988,"{'posthoc': {'point_metrics': {'mae': 11.918778531253338, 'mse': 336.6513119544834, 'r2': 0.8783710410397761, 'rmse': 18.348060168706755}, 'interval_calibration': {'target': 0.8, 'factors_per_horizon': [1.0, 1.16015625, 1.5234375], 'factors_per_horizon_from_cal_stats': {'target': 0.8, 'interval': [0.1, 0.9], 'f_max': 5.0, 'tol': 0.02, 'overall_key': '__overall__', 'factors_source': 'fit', 'factors': {'1': 1.0, '2': 1.0067987442016602, '3': 1.0128774642944336}, 'eval_before': {'coverage': 0.8551089207180382, 'sharpness': 35.391649746499326, 'per_horizon': {'1': {'coverage': 0.9725345243595667, 'sharpness': 24.335562862684192}, '2': {'coverage': 0.7972175162996047, 'sharpness': 32.32578058738877}, '3': {'coverage': 0.7955747214949432, 'sharpness': 49.51360578942501}}}, 'eval_after': {'coverage': 0.8575388880332666, 'sharpness': 35.677444547824194, 'per_horizon': {'1': {'coverage': 0.9725345243595667, 'sharpness': 24.335562862684192}, '2': {'coverage': 0.8000410698701166, 'sharpness': 32.54555530072141}, '3': {'coverage': 0.8000410698701166, 'sharpness': 50.15121548006699}}}}, 'coverage80_uncalibrated': 0.7744066119194031, 'coverage80_calibrated': 0.855108916759491, 'sharpness80_uncalibrated': 0.028198549523949623, 'sharpness80_calibrated': 0.03539165109395981, 'coverage80_uncalibrated_phys': 0.7744066119194031, 'coverage80_calibrated_phys': 0.855108916759491, 'sharpness80_uncalibrated_phys': 28.198549523949623, 'sharpness80_calibrated_phys': 35.39165109395981}, 'per_horizon': {'mae': {'H1': 5.451749544590712, 'H2': 12.48222403228283, 'H3': 17.82235875725746}, 'r2': {'H1': 0.8934360780645505, 'H2': 0.8795359685387023, 'H3': 0.8698153730005318}}}, 'raw': {'metrics_evaluate': {'subs_pred_mae_q50': 206.57271146774292, 'subs_pred_mse_q50': 186461.13574504852, 'subs_pred_coverage80': 0.5348780155181885, 'subs_pred_sharpness80': 35.818152129650116, 'gwl_pred_mae_q50': 0.5338523387908936, 'gwl_pred_mse_q50': 0.709256112575531, 'loss': 0.15030159056186676, 'total_loss': 0.15030159056186676, 'data_loss': 0.1503014862537384, 'physics_loss': 1.0870363098547386e-07, 'physics_mult': 1.0, 'physics_loss_scaled': 1.0870363098547386e-07, 'lambda_offset': 1.0, 'consolidation_loss': 7.04755129038101e-14, 'gw_flow_loss': 0.0, 'prior_loss': 5.407742946772487e-07, 'smooth_loss': 8.322365453541056e-26, 'mv_prior_loss': 0.0, 'bounds_loss': 1.097405899486148e-08, 'epsilon_prior': 0.0005971143837086856, 'epsilon_cons': 9.692175808595493e-07, 'epsilon_gw': 0.0, 'epsilon_cons_raw': 0.008377494786411662, 'epsilon_gw_raw': 0.0, 'q_reg_loss': 0.0, 'q_rms': 0.0, 'q_gate': 0.0, 'subs_resid_gate': 0.0, 'subs_pred_rmse_q50': 431.81145856154455, 'gwl_pred_rmse_q50': 0.8421734456604121}, 'eval_diag_flat': {'mae': 11.918777457489982, 'mse': 336.65135687924175, 'rmse': 18.34806139294399, 'r2': 0.878371037541744, 'coverage80': 0.8575388880332666, 'sharpness80': 35.677444547824194}}, 'sources': {'phys_json': 'J:\\nature\\results\\nansha_GeoPriorSubsNet_stage1\\train_20260223-182644\\geoprior_eval_phys_20260223-202808_interpretable.json', 'eval_diag_json': 'J:\\nature\\results\\nansha_GeoPriorSubsNet_stage1\\train_20260223-182644\\nansha_PoroElasticSubsNet_eval_diagnostics_TestSet_H3_calibrated.json', 'run_dir': 'J:\\nature\\results\\nansha_GeoPriorSubsNet_stage1\\train_20260223-182644'}}",J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260223-182644\ablation_records\ablation_record.updated.jsonl
