timestamp,city,model,pde_mode,use_effective_h,kappa_mode,hd_factor,lambda_cons,lambda_gw,lambda_prior,lambda_smooth,lambda_mv,r2,mse,mae,coverage80,sharpness80,rmse,pss,_src,_run_dir,epsilon_prior,epsilon_cons,epsilon_gw
20260222-215049,nansha,GeoPriorSubsNet,on,True,kb,0.6,1.0,0.1,0.2,0.01,0.01,0.8831367469990558,262.473855400458,9.271536953747272,0.8649998903274536,33.081524074077606,16.201044886070093,58.15752262161742,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260222-141331\ablation_records\ablation_record.jsonl,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260222-141331,0.0003535071446094662,2.107734871970024e-06,1.1787910381144684e-07
20260223-155214,nansha,HybridAttn-NoPhysics,off,True,kb,0.6,0.0,0.0,0.0,0.0,0.0,0.8847232744053972,237.7798082306981,9.03110858052969,0.8518746495246887,31.453363597393036,15.420110512921044,59.975053970599674,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260223-135903\ablation_records\ablation_record.jsonl,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260223-135903,,,
20260223-202808,nansha,PoroElasticSubsNet,consolidation,True,kb,0.6,1.0,0.0,0.2,0.01,0.01,0.8783710410397761,336.6513119544834,11.918778531253338,0.855108916759491,35.39165109395981,18.348060168706755,58.31993921476988,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260223-182644\ablation_records\ablation_record.jsonl,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260223-182644,0.0005971143837086856,9.692175808595493e-07,0.0
20260220-172641,zhongshan,GeoPriorSubsNet,on,True,kb,0.6,1.0,0.1,0.2,0.01,0.01,0.8973262181313262,7.57063662604196,1.7788297263905406,0.8056718707084656,3.544188104569912,2.751478988842539,27.33434445047807,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260218-175001\ablation_records\ablation_record.jsonl,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260218-175001,0.00038518384099006653,7.667046020287671e-07,2.6265178121320787e-07
20260221-151353,zhongshan,HybridAttn-NoPhysics,off,True,kb,0.6,0.0,0.0,0.0,0.0,0.0,0.8942219787370307,16.360085282940418,2.143730176612735,0.914294958114624,10.472070425748825,4.044760225642605,27.666065684220737,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260221-103340\ablation_records\ablation_record.jsonl,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260221-103340,,,
20260221-205355,zhongshan,PoroElasticSubsNet,consolidation,True,kb,0.6,1.0,0.0,0.2,0.01,0.01,0.8948507682334222,14.579709386453032,2.7384813874959946,0.843619167804718,9.893487207591534,3.8183385636233242,27.62814826128512,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260221-153320\ablation_records\ablation_record.jsonl,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260221-153320,0.00023192615481093526,3.4702261473285034e-06,0.0
